[2026-05-08T09:16:12+0800] install · harness@849ff27 · targets=copilot · files=35 (rendered=35, vendored=0)
[2026-05-09T13:04:36+0800] install · harness@406ca36 · targets=copilot · files=49 (rendered=49, vendored=0)
[2026-05-09T14:20:43+0800] install · harness@9f63492 · targets=copilot · files=49 (rendered=49, vendored=0)
[2026-05-09T14:20:54+0800] install · harness@9f63492 · targets=copilot · files=49 (rendered=49, vendored=0)
[2026-05-09T15:36:48+0800] install · harness@9f63492 · targets=copilot · files=50 (rendered=50, vendored=0)
[2026-05-09T15:37:59+0800] install · harness@9f63492 · targets=copilot · files=50 (rendered=50, vendored=0)
[2026-05-09T15:39:41+0800] install · harness@9f63492 · targets=copilot · files=50 (rendered=50, vendored=0)
[2026-05-09T15:40:54+0800] install · harness@79ef7d6 · targets=copilot · files=50 (rendered=50, vendored=0)
[2026-05-09T16:07:28+0800] install · harness@79ef7d6 · targets=copilot · files=51 (rendered=51, vendored=0)
[2026-05-09T16:10:04+0800] install · harness@79ef7d6 · targets=copilot · files=51 (rendered=51, vendored=0)
[2026-05-09T16:27:20+0800] install · harness@722b086 · targets=copilot · files=51 (rendered=51, vendored=0)
[2026-05-10T01:09:50+0800] install · harness@476c411 · targets=copilot · files=62 (rendered=62, vendored=0)
[2026-05-10T01:10:00+0800] install · harness@476c411 · targets=copilot · files=62 (rendered=62, vendored=0)
